"","Year","Coal","Natural_gas","Other","Petroleum","Total"
"X.28",1990,26160,640,397,1600,28797
"X.27",1991,26947,983,541,2321,30791
"X.26",1992,28395,1428,579,2094,32496
"X.25",1993,31731,2319,529,2490,37069
"X.24",1994,29399,2455,520,2894,35268
"X.23",1995,31404,2868,532,1769,36573
"X.22",1996,35155,2252,733,1478,39618
"X.21",1997,35617,1482,733,2208,40041
"X.20",1998,36745,2407,758,2784,42694
"X.19",1999,37688,2713,767,3065,44234
"X.18",2000,43010,2554,361,2636,48561
"X.17",2001,39688,2272,781,4442,47183
"X.16",2002,40226,2931,884,3075,47115
"X.15",2003,38614,2356,918,4705,46592
"X.14",2004,38742,3154,1018,4397,47311
"X.13",2005,38418,5035,1046,3717,48216
"X.12",2006,36839,3680,1062,942,42523
"X.11",2007,38707,5253,967,2291,47218
"X.10",2008,34955,4518,849,1079,41402
"X.9",2009,28714,5528,851,1068,36161
"X.8",2010,29764,7912,833,1211,39719
"X.7",2011,23224,8080,835,497,32637
"X.6",2012,17099,10921,847,356,29223
"X.5",2013,23564,9963,851,308,34686
"X.4",2014,22508,9397,861,969,33734
"X.3",2015,18451,14739,808,900,34898
"X.2",2016,17585,17701,822,458,36566
"X.1",2017,11584,18721,463,429,31195
"X",2018,10458,21352,861,832,33504
