"","Year","CO2_Emissions_mmt"
"1",1980,7
"2",1981,4
"3",1982,2
"4",1983,1
"5",1984,5
"6",1985,3
"7",1986,6
"8",1987,8
"9",1988,9
"10",1989,14
"11",1990,10
"12",1991,12
"13",1992,13
"14",1993,21
"15",1994,16
"16",1995,18
"17",1996,23
"18",1997,26
"19",1998,28
"20",1999,31
"21",2000,37
"22",2001,36
"23",2002,34
"24",2003,33
"25",2004,32
"26",2005,35
"27",2006,29
"28",2007,35
"29",2008,27
"30",2009,20
"31",2010,25
"32",2011,15
"33",2012,11
"34",2013,19
"35",2014,17
"36",2015,22
"37",2016,24
"38",2017,14
