"","Plant","Primary energy source","Operating company","Generation (MWh)"
"3","North Anna","Nuclear","Virginia Electric & Power Co","16,034,822"
"4","Surry","Nuclear","Virginia Electric & Power Co","13,219,137"
"5","Brunswick County Power Station","Natural gas","Virginia Electric & Power Co","8,439,453"
"6","Warren County","Natural gas","Virginia Electric & Power Co","8,203,122"
"7","Tenaska Virginia Generating Station","Natural gas","Tenaska Virginia Partners LP","5,771,750"
"8","Chesterfield","Natural gas","Virginia Electric & Power Co","5,097,693"
"9","Stonewall","Natural gas","Green Energy Partners LLC","4,868,251"
"10","Doswell Energy Center","Natural gas","Doswell Ltd Partnership","4,858,224"
"11","Bear Garden","Natural gas","Virginia Electric & Power Co","4,012,754"
"12","Possum Point","Natural gas","Virginia Electric & Power Co","3,723,249"
