"","Year","Total_Electric_Industry","Coal","Hydroelectric","Natural_Gas","Nuclear","Other","Other_Biomass","Petroleum","Pumped_Storage","Solar","Wood"
"X",2018,95506976,9266276,1764860,50158156,29251668,471227,1172015,950411,-1291976,763072,3001267
"X.1",2017,90417351,10726422,1116355,44507088,30553734,213322,907404,456125,-1277795,313221,2901475
"X.2",2016,92554876,16499412,1471462,40904843,29731895,461826,1105805,535420,-1162636,20908,2985941
"X.3",2015,84411592,17231426,1158428,33284216,28060358,461553,1103032,1107835,-1036382,0,3041126
"X.4",2014,77137438,20818584,955188,20881566,30220977,499767,1097011,1204907,-1295354,0,2754793
"X.5",2013,76896565,21160501,1253670,22651167,29326231,474767,959725,313288,-1189000,0,1946217
"X.6",2012,70739235,14180795,1043774,25037749,28723390,396689,922654,363968,-1365574,0,1435790
"X.7",2011,66670859,19881113,1210389,18332373,25547997,470239,789638,502646,-1469539,0,1406003
"X.8",2010,72966456,25459221,1500182,16999125,26571899,414121,815345,1292861,-1490602,0,1404304
"X.9",2009,70082066,25599288,1478630,12201384,28212252,420042,709203,1087660,-1334709,0,1708316
"X.10",2008,72678531,31776356,1010993,9315083,27930764,434205,782172,1150360,-1637688,0,1916288
"X.11",2007,78360507,35420746,1248264,10903840,27268475,476945,773245,2096949,-1620283,0,1792326
"X.12",2006,73069537,34288141,1351194,7215450,27593516,491019,678408,839212,-1167444,0,1780043
"X.13",2005,78943045,35424875,1484353,8294770,27918481,478834,695203,4264659,-1420823,0,1802693
"X.14",2004,78900040,35656006,1583050,6437809,28315294,488023,699237,5153612,-1166111,0,1733120
"X.15",2003,75309420,37093331,1781569,4619066,24816022,452936,673814,5780336,-1498159,0,1587545
"X.16",2002,75005651,38082381,868216,4386927,27346163,446923,663350,3792604,-1988835,0,1407922
"X.17",2001,74104744,37769916,1014222,4196069,25759130,396806,598967,5461605,-2240077,0,1148106
"X.18",2000,77189371,39761317,711984,4653327,28321091,2476,464454,2938544,-1340991,0,1677170
"X.19",1999,73897608,35444523,681686,4639481,28300643,1828,1071609,3362739,-1227757,0,1622857
"X.20",1998,72199443,34875766,1283296,4236745,27234399,1987,1059387,2926114,-955440,0,1537190
"X.21",1997,68515334,34159932,1020276,1880050,27084059,2261,1053131,2770109,-863791,0,1409307
"X.22",1996,66895125,32481847,1428502,3932746,26286283,2333,898655,1275314,-829603,0,1419047
"X.23",1995,62996021,28497065,995026,5431845,25134831,7689,696511,1600678,-768394,3,1400767
"X.24",1994,62048926,26590655,1146116,4681139,25428856,5621,652962,2890192,-742235,11,1395609
"X.25",1993,61243511,29410002,1313303,4378066,22688763,4026,427508,2500809,-774085,8,1295112
"X.26",1992,56352355,26225034,1089975,2475689,23334340,484,759915,1852865,-664933,11,1278975
"X.27",1991,54729096,24821392,1080055,1730887,23886268,0,701130,2353996,-1037665,33,1193000
"X.28",1990,52564458,23899901,1309499,1134810,23820152,0,620794,1438264,-833669,34,1174673
