"Table 11. Net metering, 2010 through 2018",,,,,,,,,
Virginia,,,,,,,,,
Technology by sector,"Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010"
Photovoltaic,,,,,,,,,
Capacity (MW),66.589,45.438,33.343,25.063,16.438,11.378,9.90,6.550,3.680
Residential,43.995,28.111,20.598,15.331,9.285,6.680,5.179,3.987,2.776
Commercial,22.075,16.958,12.567,9.600,6.938,4.596,4.582,2.468,0.788
Industrial,0.519,0.369,0.178,0.132,0.215,0.102,0.123,0.123,0.113
Transportation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Customers,"7,578","5,143","4,041","3,170","2,147","1,610","1,305",992,702
Residential,"7,057","4,724","3,702","2,898","1,918","1,420","1,134",875,647
Commercial,513,411,333,269,225,188,169,115,53
Industrial,8,8,6,3,4,2,2,2,2
Transportation,0,0,0,0,0,0,0,0,0
Wind,,,,,,,,,
Capacity (MW),0.369,0.322,0.325,0.335,0.334,0.287,0.280,0.244,0.207
Residential,0.267,0.210,0.216,0.226,0.225,0.227,0.213,0.204,0.167
Commercial,0.102,0.112,0.109,0.109,0.109,0.050,0.047,0.030,0.030
Industrial,0.000,0.000,0.000,0.000,0.000,0.010,0.020,0.010,0.010
Transportation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Customers,84,79,80,81,82,76,74,69,47
Residential,70,64,66,67,68,67,64,61,40
Commercial,14,15,14,14,14,8,8,7,6
Industrial,0,0,0,0,0,1,2,1,1
Transportation,0,0,0,0,0,0,0,0,0
Other,,,,,,,,,
Capacity (MW),1.967,1.967,1.967,1.128,1.128,0.0,0.0,0.0,0.0
Residential,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Commercial,1.967,1.967,0.839,1.128,1.128,0.000,0.000,0.000,0.000
Industrial,0.000,0.000,1.128,0.000,,0.000,0.000,0.000,0.000
Transportation,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
Customers,2,2,2,1,1,0,0,0,0
Residential,0,0,0,0,0,0,0,0,0
Commercial,2,2,1,1,1,0,0,0,0
Industrial,0,0,1,0,,0,0,0,0
Transportation,0,0,0,0,,0,0,0,0
All technologies,,,,,,,,,
Capacity (MW),69.333,48.135,35.653,26.526,17.90,11.665,10.164,6.822,3.884
Residential,44.262,28.321,20.814,15.557,9.510,6.907,5.392,4.191,2.943
Commercial,24.162,19.055,13.533,10.837,8.175,4.646,4.629,2.498,0.818
Industrial,0.909,0.759,1.306,0.132,0.215,0.112,0.143,0.133,0.123
Transportation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Customers,"7,666","5,226","4,124","3,252","2,230","1,686","1,379","1,061",749
Residential,"7,127","4,788","3,768","2,965","1,986","1,487","1,198",936,687
Commercial,530,429,349,284,240,196,177,122,59
Industrial,9,9,7,3,4,3,4,3,3
Transportation,0,0,0,0,0,0,0,0,0
"Source: U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.",,,,,,,,,
